grantee,url,Date Awarded,Period,Amount,Focus Area,Challenge,Goal,Project Team
Human Services Coalition of Dade County,https://knightfoundation.org/grants/4103,,02/01/2007 - 02/01/2008,"$ 25,000.00",Communities,,To encourage civic engagement in Miami by publishing a bilingual book of Daniel Shoer Roth's columns for use in the Human Services Coalition's Stories of Truth and Hope project,Human Services Coalition of Dade County
International Center for Journalists,https://knightfoundation.org/grants/4071,,02/01/2007 - 02/01/2008,"$ 250,000.00","Technology, Journalism",,To start a global business journalism program at Tsinghua University in China,International Center for Journalists
"IC Foundation, Inc.",https://knightfoundation.org/grants/4075,,02/01/2007 - 12/31/2010,"$ 100,000.00","Technology, Journalism",Knight News Challenge,To help 21st Century News Challenge Commercial Product winners present their products to venture capitalists and entrepreneurs,"IC Foundation, Inc."
William J. Clinton Foundation,https://knightfoundation.org/grants/4078,,01/01/2007 - 01/01/2008,"$ 15,000.00",Communities,,To support the Clinton Global Initiative in 2007,William J. Clinton Foundation
Jefferson Institute,https://knightfoundation.org/grants/4061,,01/01/2007 - 01/01/2008,"$ 62,000.00","Technology, Journalism",,To study the economic value of journalism training internationally and recommend how training centers can sustain themselves,Jefferson Institute
Grantmakers for Effective Organizations,https://knightfoundation.org/grants/4098,,01/01/2007 - 01/01/2008,"$ 7,700.00",Communities,,For 2007 general operating support,Grantmakers for Effective Organizations
Alliance for Human Services,https://knightfoundation.org/grants/4097,,01/01/2007 - 01/01/2008,"$ 25,000.00",Communities,,For 2007 general operating support,Alliance for Human Services
Detroit Development Fund (aka Shorebank),https://knightfoundation.org/grants/4059,,12/04/2006 - 12/04/2016,"$ 3,980,000.00",Communities,,"To accelerate neighborhood transformation in Detroit by supporting equity-like developer investments in affordable housing, multi-family rehab, and other projects, and to solidify ShoreBank as a community development agent",Shorebank Enterprise Detroit dba Detroit Development Fund
United Way of the Midlands,https://knightfoundation.org/grants/4014,,12/04/2006 - 12/04/2009,"$ 1,000,000.00",Communities,,To ensure United Way's civic leadership position in the Columbia area by jump-starting its rebuilding efforts,United Way of the Midlands
National Security Archive Fund,https://knightfoundation.org/grants/4004,,12/04/2006 - 12/04/2011,"$ 700,000.00","Technology, Journalism",,To increase the freedom of flow of information to citizens and journalists by underwriting comprehensive audits that keep pressure on officials to release information in a timely and legal manner,National Security Archive Fund
Focus: HOPE,https://knightfoundation.org/grants/4067,,12/04/2006 - 12/04/2009,"$ 1,000,000.00",Communities,,To increase the job skills of residents near Focus: HOPE's campus through support of the organization's comprehensive campaign,Focus: HOPE
Ashoka Fellows,https://knightfoundation.org/grants/3998,,12/04/2006 - 11/30/2010,"$ 3,200,000.00","Technology, Communities, Journalism",,"To select 15 promising social entrepreneurs in Knight Communities and to infuse them with the intellectual, financial and social capital required to increase their likelihood of success in their communities

	To identify and support social entrepreneurs (‘Ashoka Fellows’) around the world whose innovations aim to create systemic social impact by dramatically improving the way people get and use information. The grant created the News and Knowledge program to provide three-year fellowships focused on developing fellow skills and strengthening their networks.",Ashoka
Knight International Media Center,https://knightfoundation.org/grants/4005,,12/04/2006 - 01/31/2012,"$ 3,500,000.00",Journalism,,"To test, measure and implement new global news techniques at the Knight International Media Center, with two Knight Chairs in residence

	The University of Miami will establish a new, permanent Knight International Media Center, which will specialize in understanding how news and information crosses borders. Two previously endowed Knight Chairs at the university will be converted to Knight Chairs in residence at the center, specializing in visual journalism and cross-cultural communication. The Knight Chair in Visual Journalism will experiment with the impact of dynamic, multimedia visual communication in film, photography, illustration and graphics. The Knight Chair in Cross-Cultural Communication will take on the cultural issues of getting international groups of journalists to work as teams to cover the world’s most pressing problems. The center will develop demonstration projects that include innovative photojournalism exhibits and a non-verbal documentary, One Water, which shows the state of the world’s water supply. The School of Communication will add new media and global media courses to its curriculum. This project aims to raise awareness worldwide of under-reported stories of global significance.",University of Miami
National Infantry Foundation,https://knightfoundation.org/grants/4051,,12/04/2006 - 12/04/2009,"$ 1,000,000.00",Communities,,To fuel the revitalization of South Columbus by supporting the National Museum and Heritage Park,National Infantry Foundation
American Society of News Editors Foundation,https://knightfoundation.org/grants/3857,,12/04/2006 - 12/04/2011,"$ 1,233,249.00","Technology, Journalism",,"To increase public awareness of the importance of open government and endow Sunshine Week by creating the Knight First Amendment Fund

	 

	This grant will help the American Society of Newspaper Editors build the Knight First Amendment Fund to continue “Sunshine Week’’ and help the nation’s leading journalism organization transform into a 21st century organization. Through this project, Sunshine Week, a national educational campaign about the importance of open government, will continue annually through at least 2010, increasing their reach each year. ASNE also will: create a reserve fund for  freedom of information issues that come up each year; hold a major conference in January 2007 and others as needed to examine the issue of federal prosecutors and the news process; hire a development person to help raise $3.75 million for a second endowment fund to help ASNE reform its membership, convention and web sites policies to expand its reach among the nation’s 1,500 daily newspapers, and lead and help editors make the transition to multimedia operations.",American Society of News Editors Foundation
United Way of Allen County,https://knightfoundation.org/grants/3985,,12/04/2006 - 12/04/2010,"$ 450,000.00",Communities,,"To add a second pillar to Fort Wayne's embrace of ""New Hoosiers"" by connecting immigrant populations to educational and literacy services",United Way of Allen County
Rutgers University Foundation,https://knightfoundation.org/grants/3999,,12/04/2006 - 12/31/2011,"$ 2,000,000.00",Communities,,"To construct the Knight Early Learning Research Academy in Camden, offering a collection of model services for improving early childhood education, raising the possibility the Academy will set the standard for early childhood education in New Jersey.

	The goal of this project is to develop a proposal that details how the early childhood literacy program of the Rutgers/LEAP early childhood initiative will be implemented over the following three years. LEAP will observe centers contracting with the Camden Board of Education and rate them using the Early Childhood Environment Rating Scale (ECERS). Based on the ratings, LEAP will choose which centers to partner with during the pilot phase, and parents will be surveyed to understand their involvement and interest in center activities. As a result of this project there will be a plan for implementing and evaluating a comprehensive early literacy and leadership development initiative targeted at Camden early childhood centers.",Rutgers University Foundation
"Community Foundation of Grand Forks, East Grand Forks and Region",https://knightfoundation.org/grants/4011,,12/01/2006 - 12/01/2007,"$ 40,000.00",Communities,,"To create a leadership resource center for area nonprofits for identifying, selecting and training board members thereby establishing the Community Foundation as the local resource for board development

	The Downtown Leadership Group (DLG) is a nonprofit organization dedicated to promoting activities and development for the Grand Forks and East Grand Forks downtown. This grant will help create the needed infrastructure to support the long-term goals of the DLG. A part-time event coordinator will manage the organization's role with special events, training will increase staff capacity and a small fund will provide money for events. The grant will increase the organization's capacity to implement programs such as an annual arts festival, and become more effective in the community. A thriving DLG will result in changed public perceptions of the downtowns of East Grand Forks and Grand Forks.","Community Foundation of Grand Forks, East Grand Forks & Region"
Muscogee County School District,https://knightfoundation.org/grants/4031,,12/01/2006 - 12/31/2007,"$ 56,500.00",Communities,,To transfer responsibility to the school district for continuing a successful after-school program launched by Knight Foundation,Muscogee County School District
Greater Philadelphia Urban Affairs Coalition,https://knightfoundation.org/grants/4054,,12/01/2006 - 12/01/2008,"$ 50,000.00",Communities,,"To implement the Philly Fellows Leadership Development Program and to lay the groundwork for the expansion of the Philly Fellows Initiative, in an effort to develop a novel approach to the retention of the region's college students",Urban Affairs Coalition / Youth Outreach Adolescent Community Awareness Program
Centre County Community Foundation,https://knightfoundation.org/grants/4046,,12/01/2006 - 12/01/2007,"$ 50,000.00",Communities,,To launch the leadership challenge award,Centre County Community Foundation
Gary Community Health Foundation,https://knightfoundation.org/grants/4047,,12/01/2006 - 12/31/2008,"$ 220,000.00",Communities,,To strengthen the rising community leadership role of Gary's non-profit sector by providing capacity-building support for four highly committed organizations,Gary Community Health Foundation Inc.
American Ballet Theatre at the Carnival Center for Performing Arts,https://knightfoundation.org/grants/4048,,12/01/2006 - 12/01/2007,"$ 50,000.00",Arts,,To support a residency of American Ballet Theatre at the Carnival Center for Performing Arts,Concert Association of Florida
Boulder Civic Forum,https://knightfoundation.org/grants/4049,,12/01/2006 - 12/01/2011,"$ 250,000.00",Communities,,To expand and enhance the Boulder Civic Forum to serve as a catalyst for greater civic engagement in Boulder County,The Community Foundation-Boulder County
uVu,https://knightfoundation.org/grants/4060,,12/01/2006 - 12/01/2007,"$ 200,000.00","Communities, Arts",,"To build, develop and maintain uVu, a video sharing website and companion digital broadcast services on WPBT/Channel 2 featuring user generated content throughout South Florida to provide communications access to grassroots community groups",Community Television Foundation of S. Florida Television Station WPBT
Community Partnership For Homeless,https://knightfoundation.org/grants/4065,,12/01/2006 - 12/01/2009,"$ 250,000.00",Communities,,To sustain Community Partnership's ability to provide housing and supportive services to homeless individuals and families in Miami-Dade County,Chapman Partnership Inc.
Knight Youth Voice,https://knightfoundation.org/grants/4045,,12/01/2006 - 12/01/2008,"$ 142,000.00",Communities,,"To raise community awareness and action on local issues by launching Knight Youth Voice, a program that adds a student journalism component to an innovative youth community service model",Volunteer Services of Manatee County
The Committee of Seventy,https://knightfoundation.org/grants/4052,,12/01/2006 - 12/31/2008,"$ 35,000.00",Communities,,"To implement a series of programs designed to make the 2007 Philadelphia mayoral election more open, fair and efficient",The Committee of Seventy
Center City District Foundation: Dilworth Plaza Redevelopment,https://knightfoundation.org/grants/4053,,12/01/2006 - 12/31/2007,"$ 50,000.00",Communities,,"To advance a concept for the re-design of Dilworth Plaza at Philadelphia's City Hall, for the purpose of re-establishing a signature public space at the heart of the city's central business district",Central Philadelphia Development Corporation
Foundation for the Carolinas,https://knightfoundation.org/grants/3957,,12/01/2006 - 12/31/2007,"$ 250,000.00",Communities,,"To take to a higher level Charlotte's groundbreaking work in race relations by instituting a method for participating organizations to sharpen their mission-based initiatives through peer review, data analysis and partnerships",Foundation for the Carolinas
Mercer University,https://knightfoundation.org/grants/4055,,12/01/2006 - 10/31/2009,"$ 100,000.00",Communities,,To expand the Mercer Home Ownership Program in Beall's Hill,Mercer University
U Snap Bac Non Profit Housing Corporation,https://knightfoundation.org/grants/4057,,12/01/2006 - 12/31/2007,"$ 250,000.00",Communities,,To underscore Knight's commitment to a new community development effort on Detroit's east side by funding home repair and supportive services to residents and to secure the match required by the city of Detroit and enables the project to move forward,U Snap Bac Non Profit Housing Corporation
The Twenty-First Century Foundation,https://knightfoundation.org/grants/4058,,12/01/2006 - 12/01/2010,"$ 250,000.00",Communities,,To ramp up the effectiveness of a unique African-American oriented philanthropy by adding a program officer position and providing general support,The Twenty-First Century Foundation
Oasis Center for Women and Girls,https://knightfoundation.org/grants/4063,,12/01/2006 - 12/01/2008,"$ 70,000.00",Communities,,To produce an economic impact study of the local non-profit sector and execute a marketing and public relations campaign to inform the community and effectively position the non-profit sector with local government,Oasis Center for Women and Girls
Intel Americas,https://knightfoundation.org/grants/4066,,12/01/2006 - 12/31/2008,"$ 240,069.00",Communities,,To enable the city of Detroit to go wireless by developing the request for proposal that will anchor the city's strategy for buildout,"Intel Americas, Inc."
Aspen Institute,https://knightfoundation.org/grants/4018,,12/01/2006 - 12/01/2008,"$ 175,000.00","Technology, Journalism",,"To help national media policy makers understand community media issues by holding roundtables and a conference

	 

	The Aspen Institute convenes leaders to discuss their foremost challenges. In America today, local media face challenges as large as anyone's. Their audiences are fragmenting, shifting from boundary-spanning traditional media to media that is online, targeted or free. National policy, which sets the rules under which local media can thrive or wither, also is in a period of transition, with media consolidation, ""localism,"" and ""net neutrality,"" among the important issues. Aspen Institute will hold two roundtable sessions and conduct a “conference track’’ on policy change that would align national policy with community needs and concerns. A report will be widely distributed and posted on www.aspeninstitute.org.",Aspen Institute
World Press Freedom Committee,https://knightfoundation.org/grants/4032,,12/01/2006 - 12/01/2007,"$ 50,000.00","Technology, Journalism",,"To educate world press-freedom organizations about governmental threats to Internet communication through a conference at UNESCO's Paris headquarters, Feb. 15-16, 2007, titled: New Media: The Press Freedom Dimension

	This grant will support a conference called “New Media: The Press Freedom Dimension’’ on Feb. 15-16, 2007 at UNESCO headquarters in Paris. The conference will explore press freedom in new democracies and in non-democratic settings and focus on the challenges and opportunities of new media for press freedom, including how online news affects press freedom. This grant aims to help international organizations, including Knight grantees, learn how to make it more difficult for repressive regimes to use new methods of control to silence new media outlets.",World Press Freedom Committee
University of Minnesota Duluth,https://knightfoundation.org/grants/4040,,12/01/2006 - 11/30/2011,"$ 200,000.00",Communities,,To establish and manage a Product Development Fund for entrepreneurs and small to medium business in the region,University of Minnesota Duluth
YMCA Aberdeen,https://knightfoundation.org/grants/4056,,12/01/2006 - 12/01/2008,"$ 138,000.00",Communities,,To develop a blueprint for making Aberdeen the healthiest town in America,Young Men's Christian Association (Aberdeen)
Arts Council Silicon Valley,https://knightfoundation.org/grants/4064,,12/01/2006 - 12/31/2008,"$ 225,000.00",Arts,,"To create a detailed business plan centered on the concept that creativity, both technological and artistic, is the once and future life force of Silicon Valley, and should be the basis for a coalescence of private and public decision-making

	This grant establishes the Arts Council Silicon Valley/Knight Stabilization Grants Program and expands the existing PARTNERS grants program to community arts organizations. It will also increase the number of Artist Fellowship grants from six to eight along with an awards increase from $3,000 to $4,000. This grant focuses on supporting arts and cultural organizations, especially those that are ethnical and/or neighborhood-based.",Arts Council Silicon Valley
MS Gulf Coast Community Foundation,https://knightfoundation.org/grants/4069,,12/01/2006 - 12/31/2007,"$ 232,000.00",Communities,,To establish the Knight Rebuilding Fund,Gulf Coast Community Foundation
Gloria Estefan Foundation,https://knightfoundation.org/grants/4079,,12/01/2006 - 12/01/2007,"$ 25,000.00",Communities,,To benefit the Miami Children's Hospital Brain Institute through support of a fund raising event,Gloria Estefan Foundation
Superior Business Improvement District,https://knightfoundation.org/grants/3878,,12/01/2006 - 10/30/2008,"$ 25,000.00",Communities,,"To complete a market analysis to demonstrate market potential for specific business expansion, recruitment and other downtown revitalization efforts",Superior Business Improvement District
Urban League of Lexington - Fayette County,https://knightfoundation.org/grants/3940,,12/01/2006 - 12/31/2007,"$ 67,600.00",Communities,,To bring to the fore the importance of fatherhood in children's lives by piloting an umbrella effort that will require a variety of agencies to build the issue into their work,Urban League of Lexington-Fayette County
Florida International University,https://knightfoundation.org/grants/4029,,11/01/2006 - 12/31/2007,"$ 25,000.00","Technology, Journalism",,"To study and discuss the future of news in Cuba

	FIU’s School of Journalism and Mass Communication specializes in teaching bilingual and Spanish-language journalism. FIU’s International Media Center works to strengthen professional news media in Latin America. It has trained more than 8,000 Latin American journalists in 14 countries since 1988. This grant will support a daylong roundtable among Cuban-American community members, Cuba experts and 10 independent Cuban journalists in exile. They will discuss the future of media in Cuba and assess what type of training independent journalists in Cuba should receive and whether the journalists working for state media could be trained for a new role in a post-Castro Cuba. In addition, Spanish-speaking FIU journalism students will participate in a student reporting project, interviewing at least 30 recently arrived Cubans about how they got their news in Cuba and what kind of news they think would fit the needs of Cubans.",Florida International University
"Housing Partners, Inc.",https://knightfoundation.org/grants/4034,,11/01/2006 - 11/01/2007,"$ 150,000.00",Communities,,"For a consulting contract that will result in enhanced municipal government in Gulfport through objective setting, team building and effective department management and mayoral/council governance","Housing Partners, Inc."
American Society of News Editors Foundation,https://knightfoundation.org/grants/4021,,11/01/2006 - 03/31/2009,"$ 250,000.00","Technology, Journalism",,"To revitalize high school journalism and revamp www.highschooljournalism.org

	The Council of National Journalism Organizations raises the visibility and membership of professional journalism groups and helps them work efficiently together. During the past decade, the council’s membership has more than doubled to 53 groups. These groups, representing at least 25,000 American journalists, set standards and offer training. With this grant, the council will work with the Society of Professional Journalists to improve and expand www.journalismtraining.org, a calendar of training opportunities, and to revamp its own web site, www.cnjo.org,  and to better market the services of professional journalism organizations.",American Society of News Editors Foundation
Internews,https://knightfoundation.org/grants/3891,,11/01/2006 - 11/01/2008,"$ 150,000.00","Technology, Journalism",,To increase coordination of media development and journalism training internationally,Internews
Goodwill Industries of Middle Georgia,https://knightfoundation.org/grants/4017,,10/01/2006 - 10/01/2008,"$ 180,000.00",Communities,,"For the John S. and James L. Knight JobConnection Technology Center, a large and visible room at the front of the Goodwill Career & Conference Center",Goodwill Industries of Middle Georgia
Knight Hall,https://knightfoundation.org/grants/3993,,10/01/2006 - 10/01/2008,"$ 2,400,000.00","Technology, Journalism",,To create the programming for the Knight Institute for the Future of Journalism.,University of Maryland Foundation
Knight Hall,https://knightfoundation.org/grants/3997,,10/01/2006 - 10/01/2011,"$ 2,000,000.00","Technology, Journalism",,"To complete a new college of journalism building, Knight Hall, to house the Knight Institute for the Future of Journalism.

	This grant will complete construction of a new journalism building, named Knight Hall, which will be occupied by fall 2009. The new 60,000-square-foot, $27.7 million facility will house the Knight Institute for the Future of Journalism, which will bring together Knight-funded programs. They include the Knight Center for Specialized Journalism; J-Lab, which runs the Knight-Batten Awards for Journalism Innovation, New Voices and the Knight Citizen News Network; Knight Chair Haynes Johnson; and the American Journalism Review. Additional professional journalism groups may want to locate to the  state-of-the-art Knight Hall. This grant aims to focus Knight’s programs on the future of journalism and improve journalism education and professional development and training. Knight Hall is supported by an additional $2.4 million grant to create the Knight Institute. Note: In 2002, a five-year, $3 million challenge grant was awarded for the journalism building.",University of Maryland
Richard Florida Creativity Group,https://knightfoundation.org/grants/4037,,10/01/2006 - 10/01/2008,"$ 85,000.00","Communities, Arts",,"To launch the Knight Creative Communities Initiative, an effort to inspire community engagement and major change using a unique approach that focuses on the technology, talent and tolerance of a place

	The Knight Creative Communities Initiative will be a phased program with modules for leadership training, strategic benchmarking and research, and the potential to develop a codified ""playbook"" for use by Knight communities in their pursuit of community transformation. Richard Florida Creativity Group (RFCG) will present a series of Creative Community Leadership Seminars to train foundation staff and selected community leaders. The curriculum will be based on Florida's Three T (technology, talent and tolerance) theories of economic and community development.",Richard Florida Creativity Group
National Association of Hispanic Journalists,https://knightfoundation.org/grants/4042,,10/01/2006 - 10/01/2007,"$ 5,000.00","Technology, Journalism",,For the 21st Annual Noche de Triunfos Journalism Awards Gala,National Association of Hispanic Journalists
Stony Brook Foundation,https://knightfoundation.org/grants/3977,,10/01/2006 - 03/01/2012,"$ 1,700,000.00","Technology, Journalism",,"To establish the nation's first required college-wide program in News Literacy

	Stony Brook established an undergraduate journalism school in fall 2006. Its mission is twofold: train the next generation of journalists and educate the next generation of news consumers. This project will teach a News Literacy course to every entering student over a four-year period, from 2007 through 2011. At least 10,000 students will be taught how to critically judge the credibility of news reports, to understand the role and standards of responsible media and to recognize the value of choosing reliable news outlets. Stony Brook also will develop a multimedia textbook, make the syllabus and class available to other universities and create a cadre of graduate students who will advance research and knowledge in News Literacy. The project aims to demonstrate that a generation of news consumers can be taught to understand the journalism of verification so they will consume the news citizens need to make informed decisions.",Stony Brook Foundation Inc
Fifty Over Fifty: New Work Award,https://knightfoundation.org/grants/4019,,10/01/2006 - 10/31/2009,"$ 100,000.00","Communities, Arts",,"To create a $50,000 New Works Award, for the next two years, that showcases new work of high artistic merit in the visual or performing arts in Miami","fifty over fifty, inc."
Channel One: First Amendment,https://knightfoundation.org/grants/4022,,10/01/2006 - 10/01/2011,"$ 2,250,000.00","Technology, Journalism",,"For a strategic alliance with Channel One to promote First Amendment and student media

	Channel One is the only TV channel that reaches directly into America’s middle and high schools. A daily 12-minute newscast is broadcast into 11,000 schools, 350,000 classrooms and to more than 7 million students. A third of U.S. teens watch it. This grant will promote greater First Amendment education, the creation and strengthening of student media, increased use of news in the classroom and more civics education. PSAs, First Amendment news reports and partnerships with Knight grantees will create more exposure for grantees’ work. At least 50 schools in Knight communities will be added to the Channel One network. This grant aims to spread First Amendment education and student media nationwide to help a new generation of citizens become more informed, interested and effective.",Channel One Network
University of North Dakota Research Foundation,https://knightfoundation.org/grants/3975,,10/01/2006 - 10/01/2011,"$ 550,000.00",Communities,,"To increase high-value, high-tech jobs in Grand Forks by providing staff to develop, market, and manage business partnerships that result from the commercialization of research innovations developed at the University of North Dakota

	 

	Rather than try to entice large corporations to relocate in Grand Forks, this project seeks to harness the region's own strengths. It will bring innovations and inventions from university laboratories to the marketplace through patenting the intellectual property, and then forming corporate joint ventures or spin-off companies. The end result will be the creation of new high-value businesses that will provide higher wage opportunities for graduating students and the community at large.",University of North Dakota Research Foundation
Harvard University,https://knightfoundation.org/grants/3976,,10/01/2006 - 10/01/2008,"$ 140,000.00","Technology, Journalism",,"To support two Nieman Fellows from Latin America during the 2007-08 academic year

	The Nieman fellowships are the best-known of their type in the country.  Each year, 24 of the best and brightest journalists spend an academic year of study at Harvard.  Since 1985, Knight Foundation has helped support 16 Knight Latin American fellows.  Rosental Alves, the Knight Chair in International Journalism who directs the Knight Center for Journalism in the Americas at the University of Texas-Austin, was a 1988 Nieman fellow.  During the next two years, four leading Latin American journalists will spend nine months at Harvard, attending seminars and activities, designing their own course of study and writing an article about their experience for the Knight Center for Journalism in the Americas web site.  Upon returning to their countries, they plan to advocate for higher standards in their news organizations, influence broader press freedoms and teach and train others. A two-year, $140,000 grant was added to support two more Nieman fellows during 2007-08.",President and Fellows of Harvard College
Radio and Television News Directors Foundation,https://knightfoundation.org/grants/4007,,09/01/2006 - 09/30/2007,"$ 250,000.00","Technology, Journalism",,"To improve electronic journalism in America's high schools

	 


		Since 2001, Knight Foundation has invested more than $3.2 million through the Radio and Television Directors Foundation to improve electronic journalism in America’s high schools. RTNDF has created 116 new broadcast journalism programs and strengthened at least 300 others. This grant refocuses RTNDF’s Knight-funded efforts on use of the Internet to reach more schools and students. The project will create online teacher lessons for both new and veteran high school media advisers; develop an online teacher certification credit course in broadcast journalism; promote student-to-student learning by allowing students to create “directors cuts” videos that will explain what went into producing the award winning videos posted on the RTNDF site www.hsbj.org; and continue to offer RTNDF partnerships that match schools to local radio and television stations for mentoring, but add a “virtual mentoring” capability.",Radio and Television News Directors Foundation
Association of Black Foundation Executives,https://knightfoundation.org/grants/4023,,09/01/2006 - 09/30/2007,"$ 4,925.00",Communities,,"For 2006 institutional support

	For 2006 institutional support",Association of Black Foundation Executives
GuideStar,https://knightfoundation.org/grants/4025,,09/01/2006 - 09/01/2007,"$ 27,250.00",Communities,,For 2006 TrueNorth membership,GuideStar
American Society of News Editors Foundation,https://knightfoundation.org/grants/3952,,09/01/2006 - 09/30/2007,"$ 146,750.00","Technology, Journalism",,"To expand national Sunshine Week in 2007 to help raise public awareness and support for open government issues

	This grant will help the American Society of Newspaper Editors build the Knight First Amendment Fund to continue “Sunshine Week’’ and help the nation’s leading journalism organization transform into a 21st century organization. Through this project, Sunshine Week, a national educational campaign about the importance of open government, will continue annually through at least 2010, increasing their reach each year. ASNE also will: create a reserve fund for  freedom of information issues that come up each year; hold a major conference in January 2007 and others as needed to examine the issue of federal prosecutors and the news process; hire a development person to help raise $3.75 million for a second endowment fund to help ASNE reform its membership, convention and web sites policies to expand its reach among the nation’s 1,500 daily newspapers, and lead and help editors make the transition to multimedia operations.",American Society of News Editors Foundation
Robert C. Maynard Institute for Journalism Education,https://knightfoundation.org/grants/4015,,09/01/2006 - 09/30/2008,"$ 150,000.00","Technology, Journalism",,"To help BlackCollegeWire.org find a new, permanent home

	BlackCollegeWire.org, a news service that advances journalism in historically black colleges, has expanded since it was created in 2002 by Knight funding. It has been housed at Florida A&M and the National Association of Black Journalists. This grant will give BlackCollegeWire.org time to search for a new, permanent home, with the help of the Maynard Institute; create and implement a strategic plan to expand the project’s mission; and continue to expand the news service, by adding at least three more schools’ online publications to the site. The project aims to give students of color better access to practical journalism experience, and to help improve journalism education at historically black colleges and universities.",Robert C. Maynard Institute for Journalism Education
Inter-American Dialogue,https://knightfoundation.org/grants/3945,,09/01/2006 - 09/30/2008,"$ 150,000.00","Technology, Journalism",,"To bring together judges and prosecutors to support IAPA's Impunity project

	Since 1982, Inter-American Dialogue has convened leaders from across the Americas to discuss problems and opportunities in the Western Hemisphere. The Inter American Press Association’s Impunity project has raised public awareness and helped to bring to justice murderers of journalists in the Americas. To help generate support for the Impunity campaign outside the world of journalism, the Inter-American Dialogue will hold two meetings in 2007 in Colombia and Mexico to bring together at least 30 judges, prosecutors, government officials and media leaders to discuss what to do about the uninvestigated killings of journalists. A report that will include recommendations will be widely distributed.",Inter-American Dialogue
Richard Florida Creativity Group,https://knightfoundation.org/grants/4039,,09/01/2006 - 09/01/2008,"$ 585,000.00",Communities,,"To implement in three communities the Knight Creative Communities Initiative, an effort to inspire community engagement and major change using a unique approach that focuses on the technology, talent and tolerance of a place

	The Knight Creative Communities Initiative will be a phased program with modules for leadership training, strategic benchmarking and research, and the potential to develop a codified ""playbook"" for use by Knight communities in their pursuit of community transformation. Richard Florida Creativity Group (RFCG) will present a series of Creative Community Leadership Seminars to train foundation staff and selected community leaders. The curriculum will be based on Florida's Three T (technology, talent and tolerance) theories of economic and community development.",Richard Florida Creativity Group
We Media: Miami,https://knightfoundation.org/grants/3942,,09/01/2006 - 09/30/2007,"$ 200,000.00",Journalism,,"To support the ""We Media: Miami"" conference in February 2007, tentatively planned to be at the University of Miami

	The We Media conference brings together newspaper, online and broadcast journalists,  entrepreneurs, venture capitalists and social thinkers to talk about the latest media developments. Now three years old, previous meetings have been held in London, San Francisco and New York. This grant supports the 2007 We Media: Miami conference, whose theme will be building and improving community. The project aims to encourage help about 300 participants learn how to use new forms of media to improve the lives of people where they live and work. The meeting aims to encourage new partnerships and projects.",American Press Institute
The Opportunity Project Learning Center,https://knightfoundation.org/grants/3959,,09/01/2006 - 09/01/2009,"$ 1,400,000.00",Communities,,To teach social and emotional learning skills to 80 percent of 3- and 4-year-olds attending early learning centers in Wichita and providing a potential model for a statewide universal pre-Kindergarten program,The Opportunity Project Learning Center
Arts United of Greater Fort Wayne,https://knightfoundation.org/grants/3979,,09/01/2006 - 09/01/2009,"$ 750,000.00","Communities, Arts",,"To help Fort Wayne embrace ""New Hoosiers"" by increasing the community's understanding and appreciation of other cultures through a process that strengthens the development of arts organizations in culturally diverse, underserved communities in Fort Wayne",Arts United of Greater Fort Wayne
Knight Theater: Arts and Science Council,https://knightfoundation.org/grants/4033,,09/01/2006 - 09/01/2011,"$ 5,000,000.00",Arts,,"For an operating endowment to support extensive new cultural facilities in downtown Charlotte, including a 1,200-seat theater to be named for John S. and James L. Knight

	The project includes a new Afro-American Cultural Center, a new uptown Mint Museum, the Bechtler Museum and the new Knight Theater as part of the Wachovia First Street Cultural Campus — a mixed-use development scheduled to open in late 2008. The arts facilities will reside at the heart of a major office/residential complex. The 1,200-seat Knight Theater fills a needed gap in performance hall space, providing a home for N.C. Dance Theater and freeing up performance time in the larger Performing Arts Center for the symphony and opera, allowing all to grow artistically and financially.",Arts and Science Council-Charlotte/Mecklenburg Inc.
MS Gulf Coast Community Foundation,https://knightfoundation.org/grants/4041,,09/01/2006 - 09/01/2007,"$ 52,995.00",Communities,,To replace the foundation's computer equipment and copier,Gulf Coast Community Foundation
Social Compact,https://knightfoundation.org/grants/4012,,09/01/2006 - 09/30/2007,"$ 100,000.00",Communities,,To provide economic analysis in 5 Miami neighborhoods,"Social Compact, Inc."
The Communications Network,https://knightfoundation.org/grants/4020,,09/01/2006 - 09/30/2007,"$ 15,000.00",Communities,,For general operating support,The Communications Network
Dartmouth College,https://knightfoundation.org/grants/4024,,09/01/2006 - 09/01/2007,"$ 5,000.00",Communities,,For the Richard L. Fairley Scholarship Fund,Dartmouth College
University Park,https://knightfoundation.org/grants/4026,,09/01/2006 - 10/31/2012,"$ 10,000,000.00",Communities,,"To support the core organization that proposes to develop University Park, revitalizing a community anchored by two key institutions and using innovative approaches to health and lifelong learning as part of the area's development theme",The University of Akron
City of Gulfport,https://knightfoundation.org/grants/4028,,09/01/2006 - 09/01/2008,"$ 108,000.00",Communities,,For a comprehensive charrette process to produce a SmartCode that will govern the redevelopment of Gulfport after the devastation caused by Hurricane Katrina,City of Gulfport
